gender,age_group,level_of_study,lecture_location,accommodation_type,faculty,off_campus_duration,room_category,annual_rent,includes_water,includes_electricity,includes_waste_disposal,has_running_water,has_extra_storage,has_wifi_internet,has_study_area,has_security_services,has_generator_backup_power,hostel_distance_minutes,commute_mode,room_size,furnished_bed,furnished_table,furnished_chairs,has_access_controls,has_janitorial_services,required_deposit,recent_rent_increase,avg_rent_nearby,hostel_location
Male,40+,Post Graduate,Old Site,2 in a room,Faculty of Education,6 months to 1 year,Full self contain,7000,No,No,No,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,3000,1000,7000,Amamoma
Male,31-35,Post Graduate,New Site,Private room(1 in a room),Faculty of Education,3 years or more,Shared washroom- self kitchen,2100,No,No,No,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Taxi,20 - 30 sqm,No,No,No,No,No,1500,400,2000,Amamoma
Male,31-35,Post Graduate,New Site,3 in a room,Faculty of Education,3 years or more,Shared washroom- No kitchen,2000,No,No,No,Yes,No,No,No,No,No,21 - 30 minutes walk,Taxi,20 - 30 sqm,No,No,No,No,No,1800,100,1500,Amamoma
Male,31-35,Post Graduate,New Site,3 in a room,Faculty of Education,3 years or more,Shared washroom- No kitchen,1000,No,No,No,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Taxi,20 - 30 sqm,No,No,No,No,No,1200,200,2500,Amamoma
Male,31-35,Post Graduate,New Site,2 in a room,Faculty of Education,6 months to 1 year,Self washroom - shared kitchen,3500,No,No,No,Yes,Yes,No,No,Yes,Yes,31 - 40 minutes walk,Walking,15 - 20 sqm,Yes,Yes,Yes,No,No,2500,500,3000,Apewosika
Male,36-40,Post Graduate,New Site,Private room(1 in a room),Faculty of Education,3 years or more,Shared washroom- shared kitchen,4000,No,No,Yes,Yes,Yes,,,,,11 - 20 minutes walk,Walking,15 - 20 sqm,Yes,Yes,Yes,,No,2000,500,5000,Apewosika
Male,26-30,Fourth year,New Site,Private room(1 in a room),Faculty of Education,Between a year and 2 years,Shared washroom- self kitchen,2500,Yes,No,No,Yes,No,Yes,No,No,Yes,21 - 30 minutes walk,Taxi,15 - 20 sqm,Yes,Yes,Yes,No,,1500,,,Kwaprow
Male,36-40,Third year,Science,Private room(1 in a room),Faculty of Education,3 years or more,No Washroom - shared kitchen,2500,No,No,No,Yes,,,,,,31 - 40 minutes walk,Walking,15 - 20 sqm,Yes,Yes,Yes,,,2000,1000,2000,
Male,21-25,Certificate,Science,2 in a room,Faculty of Arts,3 years or more,Full self contain,3500,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Taxi,15 - 20 sqm,Yes,Yes,Yes,No,No,3000,500,4000,Amamoma
Male,26-30,Post Graduate,Science,2 in a room,Faculty of Education,6 months to 1 year,Full self contain,3000,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,21 - 30 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,Yes,3000,1000,2000,Ayensu
Male,26-30,Fourth year,Old Site,Private room(1 in a room),Faculty of Education,3 years or more,Full self contain,4500,No,No,No,Yes,Yes,No,Yes,Yes,No,31 - 40 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,Yes,3000,4200,3000,Amamoma
Male,31-35,Post Graduate,Old Site,Private room(1 in a room),Faculty of Social Sciences,3 years or more,Self washroom - shared kitchen,4000,No,No,No,No,Yes,No,Yes,No,No,11 - 20 minutes walk,Taxi,15 - 20 sqm,No,No,No,Yes,Yes,3000,4000,3500,Apewosika
Male,21-25,Third year,Ndoum,2 in a room,School of Business,3 years or more,Shared washroom- No kitchen,2500,Yes,Yes,Yes,Yes,Yes,No,No,No,No,31 - 40 minutes walk,Walking,15 - 20 sqm,Yes,Yes,Yes,No,No,1500,0,2650,Apewosika
Male,26-30,Certificate,Old Site,2 in a room,Faculty of Education,Less than 6 months,Self washroom - shared kitchen,2500,No,Yes,No,Yes,No,No,No,No,No,1 - 10 minutes walk,Walking,15 - 20 sqm,Yes,Yes,Yes,No,No,1700,400,2300,Kwaprow
Male,26-30,Fourth year,Science,Private room(1 in a room),Law School,3 years or more,Self washroom - shared kitchen,7000,No,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Personal vehicle,Above 30 sqm,Yes,Yes,Yes,No,No,5000,1000,6500,Kwaprow
Male,21-25,Post Graduate,Science,2 in a room,School of Physical Sciences,3 years or more,Full self contain,2500,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,21 - 30 minutes walk,Walking,15 - 20 sqm,Yes,Yes,Yes,No,Yes,2500,400,3000,Ayensu
Male,26-30,Post Graduate,Science,Private room(1 in a room),Faculty of Education,3 years or more,Full self contain,2000,No,,No,Yes,No,Yes,Yes,Yes,Yes,11 - 20 minutes walk,Walking,15 - 20 sqm,No,Yes,Yes,Yes,Yes,1200,100,1500,Amamoma
Male,31-35,Post Graduate,Science,2 in a room,Faculty of Education,6 months to 1 year,Shared washroom- shared kitchen,3500,No,No,No,Yes,,,Yes,,,11 - 20 minutes walk,Taxi,15 - 20 sqm,Yes,Yes,Yes,,,2500,230,3200,Ayensu
Female,26-30,Certificate,New Site,Private room(1 in a room),School of Health Sciences ,Less than 6 months,No washroom- No kitchen,400,No,No,No,No,No,No,Yes,No,No,31 - 40 minutes walk,Walking,Less than 15 sqm,No,Yes,Yes,No,No,200,100,500,Domeabra
