gender,age_group,level_of_study,lecture_location,accommodation_type,faculty,off_campus_duration,room_category,annual_rent,includes_water,includes_electricity,includes_waste_disposal,has_running_water,has_extra_storage,has_wifi_internet,has_study_area,has_security_services,has_generator_backup_power,hostel_distance_minutes,commute_mode,room_size,furnished_bed,furnished_table,furnished_chairs,has_access_controls,has_janitorial_services,required_deposit,recent_rent_increase,avg_rent_nearby,hostel_location
Female,21-25,Fourth year,Science,2 in a room,School of Business,Between a year and 2 years,Self washroom - shared kitchen,2500,Yes,No,No,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,2500,900,1800,Kwaprow
Female,21-25,Third year,Science,2 in a room,Faculty of Social Sciences,Between a year and 2 years,Self washroom - shared kitchen,2800,Yes,No,Yes,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,2000,800,2000,Kwesi Pra
Female,21-25,Third year,Science,2 in a room,School of Biological Sciences,Between a year and 2 years,Self washroom - shared kitchen,2300,Yes,No,No,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,15 - 20 sqm,Yes,Yes,Yes,No,No,1500,800,2100,Amamoma
Female,21-25,Third year,Old Site,2 in a room,Faculty of Education,Between a year and 2 years,Self washroom - shared kitchen,2500,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,2500,600,1900,Apewosika
Female,21-25,Third year,Science,Private room(1 in a room),Faculty of Arts,Between a year and 2 years,Full self contain,5000,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,11 - 20 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,3500,1000,4500,Amamoma
Male,21-25,Second year,Science,Private room(1 in a room),School of Business,6 months to 1 year,Full self contain,5000,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,1 - 10 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,4000,1000,5000,Amamoma
Male,21-25,Fourth year,Science,2 in a room,School of Business,Between a year and 2 years,Self washroom - shared kitchen,2700,Yes,No,Yes,Yes,Yes,No,Yes,No,No,1 - 10 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,2500,900,2400,Amamoma
Female,21-25,Third year,Science,Private room(1 in a room),Faculty of Social Sciences,Between a year and 2 years,Full self contain,5500,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,1 - 10 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,4500,1000,4500,Amamoma
Male,26-30,Post Graduate,Science,Private room(1 in a room),Faculty of Social Sciences,3 years or more,Full self contain,4500,Yes,No,Yes,Yes,Yes,No,Yes,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,4000,800,4000,Kwaprow
Male,21-25,Third year,Science,2 in a room,Faculty of Education,Between a year and 2 years,Shared washroom- No kitchen,1800,Yes,No,No,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1800,500,1700,Amamoma
Male,16-20,Second year,Science,3 in a room,School of Business,6 months to 1 year,Shared washroom- No kitchen,1200,No,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1200,300,1000,Apewosika
Male,16-20,Second year,Science,3 in a room,Faculty of Education,6 months to 1 year,Shared washroom- No kitchen,1200,No,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1000,300,1000,Apewosika
Male,16-20,Second year,Science,3 in a room,Faculty of Education,6 months to 1 year,Shared washroom- No kitchen,1200,No,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1000,300,1000,Apewosika
Male,21-25,Fourth year,Science,2 in a room,School of Physical Sciences,3 years or more,Self washroom - shared kitchen,1800,Yes,No,No,Yes,Yes,No,No,,No,21 - 30 minutes walk,Taxi,15 - 20 sqm,Yes,Yes,Yes,No,No,1000,600,2000,Ayensu
Female,16-20,Second year,,2 in a room,Faculty of Education,6 months to 1 year,Self washroom - shared kitchen,2000,Yes,No,No,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1000,500,1500,Kwaprow
Female,16-20,Third year,Science,2 in a room,Faculty of Social Sciences,Between a year and 2 years,Self washroom - shared kitchen,2000,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,15 - 20 sqm,Yes,Yes,Yes,No,No,1000,500,1800,Kwaprow
Male,16-20,Second year,Science,2 in a room,Faculty of Education,6 months to 1 year,Self washroom - shared kitchen,2200,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1600,700,1800,Amamoma
Female,16-20,Second year,Science,2 in a room,Faculty of Social Sciences,6 months to 1 year,Self washroom - shared kitchen,2500,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,2000,800,1900,Amamoma
Female,16-20,Second year,Science,2 in a room,Faculty of Social Sciences,6 months to 1 year,Self washroom - shared kitchen,2500,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,2000,800,1800,Amamoma
Female,21-25,Third year,Science,2 in a room,School of Physical Sciences,Between a year and 2 years,Self washroom - shared kitchen,2300,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1800,700,200,Amamoma
Male,16-20,Second year,,2 in a room,School of Business,6 months to 1 year,Self washroom - shared kitchen,2500,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,800,1900,Ayensu
Male,21-25,Fourth year,Science,2 in a room,Faculty of Social Sciences,3 years or more,Self washroom - shared kitchen,2500,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,700,2300,Amamoma
Male,21-25,Third year,Science,2 in a room,Faculty of Education,Between a year and 2 years,Self washroom - shared kitchen,2600,Yes,No,Yes,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,2000,800,1800,Ayensu
Male,16-20,Second year,Science,2 in a room,Faculty of Education,6 months to 1 year,Self washroom - shared kitchen,2000,Yes,No,Yes,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,2000,500,1500,Apewosika
Male,21-25,Third year,Science,2 in a room,School of Business,Between a year and 2 years,Self washroom - shared kitchen,1800,Yes,No,Yes,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,1000,500,900,Apewosika
Male,21-25,Fourth year,Science,2 in a room,Faculty of Education,3 years or more,Full self contain,4500,Yes,No,Yes,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,3500,1000,3000,Kwaprow
Male,21-25,Third year,Science,2 in a room,School of Physical Sciences,Between a year and 2 years,Self washroom - shared kitchen,2300,Yes,No,Yes,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,,No,1500,600,1800,Apewosika
Female,21-25,Third year,Science,2 in a room,School of Business,Between a year and 2 years,Self washroom - shared kitchen,2500,Yes,No,Yes,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,2500,800,2000,Ayensu
Male,21-25,Third year,Science,2 in a room,School of Business,Between a year and 2 years,Self washroom - shared kitchen,2200,Yes,No,Yes,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,600,1500,Apewosika
Female,21-25,Fourth year,Science,2 in a room,School of Biological Sciences,Between a year and 2 years,Self washroom - shared kitchen,2500,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,2500,800,2000,Amamoma
Male,21-25,Third year,Science,2 in a room,School of Business,Between a year and 2 years,Self washroom - shared kitchen,2400,Yes,No,Yes,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,1400,700,2100,Kwaprow
,21-25,Third year,Science,2 in a room,School of Business,Between a year and 2 years,Self washroom - shared kitchen,2000,No,No,Yes,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,500,1700,Apewosika
Male,16-20,Second year,Science,2 in a room,Faculty of Education,6 months to 1 year,Shared washroom- No kitchen,1200,No,No,No,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,800,300,800,Apewosika
Male,16-20,Second year,Science,2 in a room,Faculty of Social Sciences,6 months to 1 year,Shared washroom- No kitchen,1200,No,No,No,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,900,300,800,Apewosika
Male,16-20,Second year,Science,2 in a room,Faculty of Social Sciences,6 months to 1 year,Self washroom - shared kitchen,1800,No,No,No,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1000,400,850,Amamoma
Female,21-25,Third year,Science,2 in a room,Faculty of Social Sciences,Between a year and 2 years,Self washroom - shared kitchen,2100,Yes,No,No,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,600,1800,Kwaprow
Male,16-20,First year,Science,2 in a room,School of Business,Less than 6 months,Self washroom - shared kitchen,2600,Yes,No,Yes,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1800,700,1900,Apewosika
Male,16-20,First year,Science,2 in a room,Faculty of Social Sciences,Less than 6 months,Self washroom - shared kitchen,2500,Yes,No,No,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,2500,800,2200,Amamoma
Male,16-20,Second year,Science,2 in a room,School of Business,6 months to 1 year,Self washroom - shared kitchen,1800,No,No,No,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Shuttle,15 - 20 sqm,Yes,Yes,Yes,No,No,1000,500,1560,Apewosika
Male,16-20,Second year,Science,2 in a room,School of Business,6 months to 1 year,Shared washroom- No kitchen,1500,No,No,No,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,15 - 20 sqm,Yes,Yes,Yes,No,No,1000,300,1200,Apewosika
,26-30,Post Graduate,New Site,2 in a room,Faculty of Social Sciences,Less than 6 months,Full self contain,1400,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,21 - 30 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,Yes,Yes,1000,200,1200,Ayensu
Male,16-20,Second year,Old Site,2 in a room,Faculty of Social Sciences,6 months to 1 year,Self washroom - shared kitchen,2500,Yes,No,No,Yes,Yes,No,No,No,No,1 - 10 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,500,2300,Apewosika
Female,26-30,Post Graduate,Science,Private room(1 in a room),School of Biological Sciences,3 years or more,Full self contain,5000,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,4000,1000,4000,Amamoma
Male,21-25,Fourth year,Science,2 in a room,School of Physical Sciences,3 years or more,Self washroom - shared kitchen,2000,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,500,1800,Ayensu
Female,21-25,Third year,Science,2 in a room,Faculty of Education,Between a year and 2 years,Self washroom - shared kitchen,2000,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,2000,500,2100,Amamoma
Male,21-25,Third year,Science,3 in a room,Faculty of Social Sciences,Between a year and 2 years,Shared washroom- No kitchen,1200,No,No,No,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,800,300,1000,Apewosika
Male,21-25,Third year,Science,3 in a room,Faculty of Education,Between a year and 2 years,Shared washroom- No kitchen,1200,No,No,No,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,800,300,900,Apewosika
Male,21-25,Third year,Science,3 in a room,Faculty of Social Sciences,Between a year and 2 years,Shared washroom- No kitchen,1200,No,No,No,Yes,No,No,No,No,No,21 - 30 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,800,300,1000,Apewosika
Male,21-25,Third year,New Site,2 in a room,Faculty of Arts,Between a year and 2 years,Self washroom - shared kitchen,2500,Yes,No,Yes,Yes,Yes,No,No,No,No,31 - 40 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,700,2200,Amamoma
Male,21-25,Third year,New Site,,Faculty of Arts,Between a year and 2 years,Self washroom - shared kitchen,2500,Yes,No,Yes,Yes,Yes,No,No,No,No,31 - 40 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,800,2100,Amamoma
Male,21-25,Third year,Science,2 in a room,School of Business,Between a year and 2 years,Self washroom - shared kitchen,2300,No,No,No,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,600,1800,Amamoma
Male,21-25,Second year,Science,2 in a room,Faculty of Social Sciences,6 months to 1 year,Self washroom - shared kitchen,2500,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,500,1800,Ayensu
Female,21-25,Third year,Old Site,2 in a room,Faculty of Education,Between a year and 2 years,Self washroom - shared kitchen,2000,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1200,600,2000,Apewosika
,21-25,Third year,Science,2 in a room,Faculty of Arts,Between a year and 2 years,Shared washroom- shared kitchen,1800,No,No,Yes,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1000,400,1600,Kwesi Pra
Female,21-25,Second year,Science,2 in a room,Faculty of Social Sciences,Between a year and 2 years,Self washroom - shared kitchen,2000,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1000,500,1500,Amamoma
,16-20,Third year,Science,2 in a room,Faculty of Arts,Between a year and 2 years,Self washroom - shared kitchen,2200,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1200,500,1600,Kwesi Pra
Female,16-20,Second year,Science,2 in a room,School of Physical Sciences,6 months to 1 year,Self washroom - shared kitchen,2500,Yes,No,Yes,Yes,Yes,No,No,Yes,No,21 - 30 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,500,2300,Kwaprow
Female,21-25,Third year,Science,2 in a room,School of Biological Sciences,Between a year and 2 years,Self washroom - shared kitchen,2700,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,2000,700,2500,Amamoma
Male,21-25,Third year,Science,2 in a room,School of Business,Between a year and 2 years,Self washroom - shared kitchen,2500,Yes,No,Yes,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,500,1200,Apewosika
Male,16-20,Second year,Science,2 in a room,Faculty of Social Sciences,6 months to 1 year,Self washroom - shared kitchen,3000,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,31 - 40 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,2000,800,2550,Ayensu
Male,21-25,Third year,Science,2 in a room,School of Business,Between a year and 2 years,Self washroom - shared kitchen,2800,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,11 - 20 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,700,2100,Amamoma
Male,31-35,Post Graduate,New Site,4 in a room,School of Physical Sciences,3 years or more,Shared washroom- No kitchen,2500,Yes,Yes,Yes,Yes,Yes,No,No,No,No,31 - 40 minutes walk,Walking,15 - 20 sqm,Yes,Yes,Yes,Yes,No,1000,500,1500,Apewosika
Male,26-30,Post Graduate,Science,2 in a room,Faculty of Social Sciences,3 years or more,Shared washroom- shared kitchen,3000,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,21 - 30 minutes walk,Taxi,15 - 20 sqm,Yes,Yes,Yes,Yes,Yes,3000,500,2500,Apewosika
Female,21-25,Fourth year,Science,2 in a room,School of Business,Between a year and 2 years,Self washroom - shared kitchen,2500,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,500,190,Kwesi Pra
Male,31-35,Third year,Science,2 in a room,School of Physical Sciences,3 years or more,Self washroom - shared kitchen,2000,,Yes,Yes,Yes,Yes,No,Yes,No,No,41 - 50 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,Yes,1000,100,2000,Amamoma
Male,21-25,Second year,Science,2 in a room,Faculty of Social Sciences,6 months to 1 year,Full self contain,3000,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Taxi,Above 30 sqm,Yes,Yes,Yes,No,No,2000,800,2000,Amamoma
Male,21-25,Third year,Science,2 in a room,School of Business,Between a year and 2 years,Full self contain,3500,Yes,No,Yes,Yes,Yes,No,No,Yes,No,11 - 20 minutes walk,,Above 30 sqm,Yes,Yes,Yes,No,No,2000,1000,2800,Amamoma
Male,21-25,Third year,Science,2 in a room,School of Physical Sciences,Between a year and 2 years,Full self contain,3500,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,11 - 20 minutes walk,Taxi,Above 30 sqm,Yes,Yes,Yes,No,No,2000,800,3000,Amamoma
Male,21-25,Fourth year,Science,2 in a room,School of Business,Between a year and 2 years,Full self contain,3000,Yes,No,Yes,Yes,Yes,No,No,Yes,No,21 - 30 minutes walk,Taxi,Above 30 sqm,Yes,Yes,Yes,No,No,2500,900,2600,Kwaprow
Male,31-35,Certificate,Science,2 in a room,School of Physical Sciences,3 years or more,Full self contain,3000,Yes,,Yes,Yes,Yes,No,Yes,Yes,No,21 - 30 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,Yes,No,3000,1000,5000,Ayensu
Female,16-20,Second year,Science,Private room(1 in a room),Law School,6 months to 1 year,Full self contain,5500,Yes,No,Yes,Yes,Yes,No,No,Yes,No,21 - 30 minutes walk,Taxi,Above 30 sqm,Yes,Yes,Yes,No,No,4000,1000,4500,Kwaprow
Female,16-20,Second year,Science,Private room(1 in a room),Law School,6 months to 1 year,Full self contain,5500,Yes,No,Yes,Yes,Yes,No,No,Yes,No,21 - 30 minutes walk,Taxi,Above 30 sqm,Yes,Yes,Yes,No,No,4500,900,5000,Kwesi Pra
Male,26-30,Third year,New Site,2 in a room,Faculty of Social Sciences,3 years or more,No Washroom - shared kitchen,1500,Yes,Yes,No,Yes,No,No,No,No,No,31 - 40 minutes walk,Walking,15 - 20 sqm,No,Yes,Yes,No,No,1000,400,1600,Apewosika
Female,21-25,First year,New Site,2 in a room,Law School,Less than 6 months,Full self contain,6000,Yes,No,Yes,Yes,No,No,No,No,No,21 - 30 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,4000,0,6000,Domeabra
,21-25,Second year,Science,2 in a room,Faculty of Arts,6 months to 1 year,Self washroom - shared kitchen,2100,Yes,No,Yes,Yes,Yes,No,No,,No,21 - 30 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,700,1400,Kwesi Pra
Female,21-25,Second year,Science,2 in a room,Faculty of Social Sciences,6 months to 1 year,Full self contain,3000,Yes,No,Yes,Yes,Yes,No,No,Yes,No,11 - 20 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,2000,500,2000,Ayensu
Male,21-25,Third year,Science,2 in a room,School of Business,Between a year and 2 years,Full self contain,3000,Yes,No,Yes,Yes,Yes,No,No,Yes,No,21 - 30 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,2000,500,2100,Ayensu
Male,21-25,Second year,Science,2 in a room,Faculty of Arts,6 months to 1 year,Self washroom - shared kitchen,2200,Yes,No,Yes,Yes,Yes,No,No,Yes,No,21 - 30 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,2500,400,1400,Apewosika
Male,21-25,Second year,Old Site,2 in a room,Faculty of Education,6 months to 1 year,Self washroom - shared kitchen,2000,Yes,No,Yes,Yes,Yes,No,No,No,No,31 - 40 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,1400,500,1400,Amamoma
Female,16-20,First year,Science,2 in a room,Faculty of Arts,Less than 6 months,Full self contain,3500,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,11 - 20 minutes walk,Taxi,Above 30 sqm,Yes,Yes,Yes,No,No,2500,500,2400,Amamoma
Male,21-25,Third year,Science,2 in a room,School of Biological Sciences,Between a year and 2 years,Self washroom - shared kitchen,2500,Yes,No,Yes,Yes,Yes,No,No,Yes,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,2000,500,1800,Apewosika
Female,16-20,Second year,Science,2 in a room,Faculty of Social Sciences,6 months to 1 year,Self washroom - shared kitchen,2000,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,500,1400,Amamoma
Male,16-20,Second year,Science,2 in a room,Faculty of Education,6 months to 1 year,Shared washroom- No kitchen,1800,No,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,1000,400,1500,Apewosika
Male,16-20,Third year,Science,2 in a room,Faculty of Education,6 months to 1 year,Self washroom - shared kitchen,2500,Yes,No,Yes,Yes,Yes,No,No,Yes,No,11 - 20 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,500,1800,Apewosika
Female,21-25,Fourth year,Science,2 in a room,Faculty of Education,Between a year and 2 years,Full self contain,3000,Yes,No,Yes,Yes,Yes,No,No,Yes,No,21 - 30 minutes walk,Taxi,Above 30 sqm,Yes,Yes,Yes,No,No,2000,500,2000,Amamoma
Male,21-25,Third year,Science,2 in a room,Faculty of Education,Between a year and 2 years,Self washroom - shared kitchen,2300,Yes,No,Yes,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,400,1600,Ayensu
Female,21-25,Fourth year,Old Site,2 in a room,Faculty of Education,Between a year and 2 years,Self washroom - shared kitchen,2500,Yes,No,Yes,Yes,Yes,No,No,Yes,No,1 - 10 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,700,1960,Apewosika
Male,16-20,Second year,Science,2 in a room,Faculty of Education,6 months to 1 year,Self washroom - shared kitchen,2300,Yes,No,Yes,Yes,Yes,No,No,Yes,No,11 - 20 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,600,1750,Amamoma
Male,21-25,Third year,Science,2 in a room,School of Business,Between a year and 2 years,Full self contain,3000,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,1 - 10 minutes walk,Taxi,Above 30 sqm,Yes,Yes,Yes,No,No,2000,800,2400,Kwaprow
Male,16-20,Second year,Science,2 in a room,Faculty of Education,6 months to 1 year,Self washroom - shared kitchen,2000,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,500,1300,Apewosika
Male,21-25,Third year,Science,2 in a room,Faculty of Education,Between a year and 2 years,Self washroom - shared kitchen,2700,Yes,No,Yes,Yes,Yes,No,No,Yes,No,11 - 20 minutes walk,Shuttle,Above 30 sqm,Yes,Yes,Yes,No,No,2000,500,2300,Ayensu
Female,21-25,Third year,Old Site,3 in a room,School of Business,Between a year and 2 years,Shared washroom- self kitchen,7000,Yes,No,Yes,Yes,,,Yes,Yes,Yes,21 - 30 minutes walk,Walking,Above 30 sqm,Yes,Yes,,No,No,3500,,5000,Kwesi Pra
Male,26-30,Third year,Science,3 in a room,Faculty of Arts,Between a year and 2 years,Shared washroom- shared kitchen,4000,Yes,No,Yes,Yes,No,No,Yes,Yes,No,31 - 40 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,2500,500,7000,Apewosika
Male,21-25,Third year,Science,2 in a room,Faculty of Social Sciences,Between a year and 2 years,Self washroom - shared kitchen,2400,Yes,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,500,1100,Amamoma
Female,21-25,Fourth year,Science,2 in a room,School of Business,3 years or more,Self washroom - shared kitchen,2500,Yes,No,Yes,Yes,Yes,No,No,Yes,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,500,1600,Apewosika
Male,21-25,Third year,Science,2 in a room,Faculty of Social Sciences,Between a year and 2 years,Self washroom - shared kitchen,2200,Yes,No,Yes,Yes,Yes,,No,No,No,21 - 30 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,600,1560,Apewosika
Female,16-20,Second year,Science,2 in a room,Faculty of Arts,6 months to 1 year,Self washroom - shared kitchen,2000,Yes,No,Yes,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,1000,400,1200,Domeabra
Male,21-25,Third year,Science,2 in a room,Faculty of Education,Between a year and 2 years,Shared washroom- No kitchen,1700,,No,Yes,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1000,300,1540,Ayensu
Female,16-20,Second year,Science,2 in a room,Faculty of Education,6 months to 1 year,Full self contain,3500,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,1 - 10 minutes walk,Walking,Above 30 sqm,Yes,Yes,Yes,No,No,2500,700,2860,Amamoma
Male,16-20,Second year,Science,2 in a room,School of Business,Less than 6 months,Self washroom - shared kitchen,2600,Yes,No,Yes,Yes,Yes,No,No,Yes,No,31 - 40 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,1600,500,2000,Ola
Female,21-25,Third year,Science,2 in a room,,Between a year and 2 years,Self washroom - shared kitchen,2500,Yes,No,Yes,Yes,Yes,No,No,Yes,No,11 - 20 minutes walk,Shuttle,Above 30 sqm,Yes,Yes,Yes,No,No,1500,500,1600,Apewosika
